Y,X
47.3203192120281,9.0527
39.8624907233933,7.3135
42.2257786268427,8.6471
30.0106889961667,5.8579
43.9004585060706,7.9357
25.9113339272657,5.7561
23.7393102573734,4.4832
40.8103899887218,7.7276
48.7255944986476,9.2848
26.0238136447626,4.6772
39.8777564937656,8.1893
17.8136410126385,3.5508
6.65454380748273,0.633
11.77853867963,1.896
9.60671299974583,2.4926
34.8574955362081,6.2653
49.2635569954277,8.614
11.145342957948,3.0467
21.7197551395837,3.9312
28.3431626523701,5.2257
41.2397698349097,7.5908
22.8016573928915,4.4675
50.1355441463661,9.1999
-3.22269399735297,0.5947
52.8393250753738,9.8198
13.7147053831613,1.7246
-3.37599443062191,2.0839
6.34897404449104,2.0847
35.7832416979721,6.9856
32.289571402607,5.4138
39.3175331193619,7.7438
14.5897486887466,5.0032
25.8007042016546,4.7147
24.4639269485699,6.5499
25.6597416903828,5.8605
40.3115539353885,7.4602
13.2261065822027,2.8275
18.3800211726073,3.1216
16.0259117688189,3.0096
43.3027180155133,6.9226
13.2043040205208,2.9335
20.4297104825716,4.6049
11.3923843673728,2.2817
-1.45300014580286,0.2005
41.0601468857573,9.8577
36.1007892997962,6.5407
40.7219220921258,8.5814
14.1662479690121,4.3229
6.98109989573484,1.5074
17.5933734867149,2.0762
19.1250742974425,4.6487
7.02176294068161,2.1264
1.01840704589725,0.4953
27.4567523510497,5.7739
8.02513440374547,1.8886
19.9929617243777,3.3064
8.82922382128494,1.3012
41.8463383585798,7.8198
17.6257799596414,0.5594
47.7505346914545,7.9447
28.0955718765965,7.2404
37.8660023704899,8.1329
22.511051845569,4.8511
43.1993870025521,9.3175
1.88364431846097,0.1694
29.7276183736996,5.6572
14.6109514094709,1.5039
35.392065301478,6.4976
3.96996219471699,1.4475
19.4085807484317,3.3992
9.45486585368007,1.9688
29.1931121309922,5.6233
9.70066656476223,1.7478
10.7713317611224,2.3539
43.0189281539876,7.1303
27.8637637197249,5.2814
-3.43358201861222,0.7857
39.8019068733731,7.6911
40.5470722347161,8.9701
38.7267651225693,5.9724
22.1813993660355,3.1238
12.5353417119803,3.4819
43.3686038484541,8.1911
31.4300372542433,6.7135
15.1612469221191,3.6665
12.7740062273223,2.8886
33.448512366383,6.7519
25.9770260926266,4.9409
33.0371901365274,5.7724
7.43361988061674,0.998
34.7160410800847,8.111
-4.44856026561697,0.5039
45.8489128272808,9.9392
11.2789162796529,1.3587
15.8930506339033,2.3142
34.2997021417091,6.0058
1.02791322329242,0.9469
33.9653051705891,8.4148
39.0779616211326,6.6619
48.2546255320659,9.5161
1.03214,9.97071
