Y,x
188719.167734499,5.9947
7107.26447846319,3.9492
3729063.77884434,9.6353
569.177910558591,0.4943
3022129.66356603,9.0811
24409.0829300115,4.3569
1553.81289335858,2.3649
85168.375853033,5.9698
1433693.95222289,8.4548
216896.340500672,6.5002
2069686.71887268,8.8966
925946.78746639,7.5664
909.079522779541,0.8204
667.633038677757,0.753
25801.1642852017,4.3186
925.320452357197,0.6538
4893.02267782911,2.8432
38635.4248148447,5.4904
414827.346150625,7.8879
8240777.31251081,9.7182
4421.99417210995,2.4727
882950.191390311,7.728
1070270.79579164,8.1183
72474.1615279886,5.657
73660.4121687275,5.0598
802074.181475309,8.6234
1042622.33580287,8
64995.7502548884,5.9827
26047.0497191952,4.2593
1326869.07934833,8.4588
2392947.33224861,9.1427
1998.03215770932,1.7979
22905.230600494,4.642
211722.602943036,7.4054
2600.64655031115,2.4753
497757.80764146,8.4595
453109.456938001,7.0413
30126.0239653863,5.5054
1262630.57442202,8.1873
852768.833631987,8.1936
4118015.36892519,9.24
1359.59964947746,1.6386
2206012.97555212,8.6546
55457.4457709269,6.0409
46351.9126927781,5.4993
381.670593940787,0.6377
350.866271672474,0.1488
36048.4481197921,4.5835
1019384.28978761,8.0106
446.312757669018,0.263
2379.26941202374,1.8358
325255.681168102,7.092
1012144.85061451,7.8202
311812.284849167,7.0992
4188.67638486598,2.4318
368.124850416511,0.4355
288770.467718526,6.895
1777.2655867686,1.7291
1018182.12656002,8.6429
71988.6152109516,5.0995
733.2093895323,0.9777
9910.80769862685,3.959
2308.41981851289,2.1273
3780735.95430427,9.0196
194706.611859567,7.0634
205.345181458377,0.7251
1914535.77996916,8.7224
119964.294177034,6.2371
93692.9849743479,5.4983
35897.3007804056,4.8188
1249889.13760631,8.6602
1028.73165472242,2.0532
74368.763680145,5.6087
48502.8796056493,5.0489
19366.38074509,3.7348
54351.6586943446,5.2016
4739.70137982046,2.9263
2455.00725419934,1.6118
184833.27703583,6.7009
388.038126484371,0.3854
613.449011587215,0.3525
9536.94868292478,3.5009
17291.396803541,3.8536
4921.96330217803,2.9025
1576181.79733909,8.6944
192149.59972142,6.2173
2084.5255593713,2.0588
5173.35088427022,2.5491
1238082.58298619,9.1037
6384378.83258088,9.8973
2171.2549388753,2.0323
758.912274615527,0.3921
63067.6943375661,5.5907
924996.006442489,8.277
272.110504389495,0.2801
1132489.20503679,8.4176
1015550.51651878,8.545
26535.0709800911,5.4277
860200.110305707,7.6067
2847207.57732108,9.2492
