Y,x
6428.91577034424,9.517
2640.00072804295,5.113
12858.5992668416,9.773
5491.4500533576,8.428
2838.82010828213,5.752
489.060627001714,3.922
2749.75486977564,5.464
2803.66076295375,5.628
1623.13358620474,6.195
9108.4823907136,9.958
97.0703209192559,1.227
6026.81685543011,6.5
3928.82961506522,4.828
3533.40036193186,5.999
5614.59281750695,8.141
13259.1099698841,8.96
2927.08377387373,6.513
10102.3324980278,9.865
2207.02811798921,4.102
3465.33129417668,7.223
2459.7042410724,5.232
7370.95507626773,7.944
4942.55517544698,9.208
9267.33110222906,9.199
522.066364962433,2.275
1266.42765816931,3.855
3197.7447899045,5.533
1157.28230463749,5.131
4918.72021011879,7.023
5726.13133144326,6.616
542.541995103924,2.262
1072.31946992891,3.519
4311.19279661315,6.455
3365.01863796254,6.233
5691.97405240869,9.534
8170.31579710411,9.487
317.811437639759,2.487
6172.36761641035,8.193
8909.71481396352,8.918
2350.88609461326,6.376
4910.88019593751,8.306
3029.59388050545,4.506
5286.95655686691,6.527
8231.20380872614,9.098
811.311941102133,2.766
8012.66958611079,7.669
5246.38633147517,6.654
8877.66876617689,9.54
8548.87312774823,8.238
2067.54379117974,4.077
5165.43891924825,7.901
1630.21325898111,5.036
5991.04508990392,6.545
6961.07596681265,9.12
830.957528642236,3.485
520.918388268481,2.251
4438.2580225792,5.69
119.506471511162,1.19
1219.1122740354,4.376
7727.49201995317,9.897
4302.4449203008,7.558
1546.53560230982,4.617
85.8160117475653,1.095
5784.31299918065,9.157
10483.9619669607,9.371
5317.47797574293,8.101
869.316666862969,3.029
568.529547270644,5.598
1221.94887224695,4.052
3861.28769072734,6.498
928.28109580674,4.786
945.098164824941,4.094
2223.69600215248,5.573
373.803929544738,1.837
2578.87768950586,6.717
4813.93783041842,6.509
2826.96309158207,5.616
282.167705949433,2.039
1351.42907724723,4.556
153.373410877396,1.552
3371.43892754988,6.751
2884.57153823338,6.584
5009.3332099768,8.776
1282.05324328705,3.845
3424.49520318468,5.581
958.620843068208,3.301
6896.19514224509,8.137
3748.9618290863,6.056
8204.99893413093,8.472
2235.76982234076,6.377
8264.61319769659,8.953
3379.98799605332,6.071
3183.39130401638,7.61
1502.90152201841,6.975
494.777265143481,2.825
5242.60414986254,8.091
159.666278190301,1.325
2087.06966318939,4.446
206.866151076227,1.335
2773.13472571314,4.587
